date,temp
2018-01-01,3.4
2018-01-02,2.7
2018-01-03,2.7
2018-01-04,3.6
2018-01-05,4.1
2018-01-06,2.9
2018-01-07,-0.2
2018-01-08,0.7
2018-01-09,0.5
2018-01-10,-1.5
2018-01-11,-3.4
2018-01-12,-2.3
2018-01-13,-7.4
2018-01-14,-8.9
2018-01-15,-8.4
2018-01-16,-7.3
2018-01-17,-7.3
2018-01-18,-4.1
2018-01-19,-1.2
2018-01-20,-2.6
2018-01-21,-3.9
2018-01-22,-6.6
2018-01-23,-7.3
2018-01-24,-3.9
2018-01-25,3.0
2018-01-26,2.0
2018-01-27,1.5
2018-01-28,1.0
2018-01-29,2.6
2018-01-30,0.3
2018-01-31,0.3
2018-02-01,0.9
2018-02-02,-1.0
2018-02-03,-0.2
2018-02-04,-3.5
2018-02-05,-4.5
2018-02-06,-6.2
2018-02-07,-4.2
2018-02-08,-9.3
2018-02-09,-6.5
2018-02-10,-7.4
2018-02-11,-5.0
2018-02-12,-2.0
2018-02-13,-0.6
2018-02-14,-1.1
2018-02-15,-6.1
2018-02-16,-5.3
2018-02-17,-3.5
2018-02-18,-3.7
2018-02-19,-4.5
2018-02-20,-6.5
2018-02-21,-10.7
2018-02-22,-14.2
2018-02-23,-14.3
2018-02-24,-11.7
2018-02-25,-15.0
2018-02-26,-11.6
2018-02-27,-14.0
2018-02-28,-15.2
2018-03-01,-11.7
2018-03-02,-6.4
2018-03-03,-9.2
2018-03-04,-8.6
2018-03-05,-8.0
2018-03-06,-2.1
2018-03-07,-3.0
2018-03-08,-0.9
2018-03-09,1.8
2018-03-10,1.3
2018-03-11,2.1
2018-03-12,3.9
2018-03-13,5.4
2018-03-14,0.2
2018-03-15,-2.9
2018-03-16,-5.9
2018-03-17,-6.3
2018-03-18,-2.7
2018-03-19,0.8
2018-03-20,-0.6
2018-03-21,-2.1
2018-03-22,0.7
2018-03-23,-0.2
2018-03-24,-0.5
2018-03-25,3.7
2018-03-26,1.8
2018-03-27,-3.0
2018-03-28,-4.4
2018-03-29,-1.4
2018-03-30,-0.4
2018-03-31,0.2
2018-04-01,1.4
2018-04-02,1.2
2018-04-03,2.3
2018-04-04,6.7
2018-04-05,10.2
2018-04-06,5.4
2018-04-07,5.4
2018-04-08,10.3
2018-04-09,14.0
2018-04-10,6.6
2018-04-11,6.1
2018-04-12,8.1
2018-04-13,10.3
2018-04-14,13.0
2018-04-15,14.8
2018-04-16,14.8
2018-04-17,7.5
2018-04-18,9.5
2018-04-19,8.5
2018-04-20,12.6
2018-04-21,11.2
2018-04-22,7.7
2018-04-23,7.9
2018-04-24,10.7
2018-04-25,8.5
2018-04-26,8.5
2018-04-27,7.3
2018-04-28,8.4
2018-04-29,11.7
2018-04-30,13.0
2018-05-01,16.4
2018-05-02,12.1
2018-05-03,12.6
2018-05-04,10.1
2018-05-05,9.3
2018-05-06,11.6
2018-05-07,14.1
2018-05-08,13.5
2018-05-09,16.8
2018-05-10,18.2
2018-05-11,18.1
2018-05-12,16.5
2018-05-13,17.3
2018-05-14,19.3
2018-05-15,19.2
2018-05-16,16.8
2018-05-17,16.3
2018-05-18,15.6
2018-05-19,13.2
2018-05-20,12.9
2018-05-21,15.1
2018-05-22,14.5
2018-05-23,14.7
2018-05-24,15.5
2018-05-25,18.8
2018-05-26,20.4
2018-05-27,18.6
2018-05-28,20.1
2018-05-29,21.0
2018-05-30,19.6
2018-05-31,18.3
2018-06-01,17.8
2018-06-02,17.9
2018-06-03,18.3
2018-06-04,17.4
2018-06-05,11.0
2018-06-06,11.4
2018-06-07,14.1
2018-06-08,16.3
2018-06-09,13.7
2018-06-10,17.6
2018-06-11,18.6
2018-06-12,15.9
2018-06-13,14.8
2018-06-14,17.7
2018-06-15,18.3
2018-06-16,18.6
2018-06-17,19.9
2018-06-18,18.1
2018-06-19,16.6
2018-06-20,17.3
2018-06-21,19.9
2018-06-22,13.5
2018-06-23,13.1
2018-06-24,12.8
2018-06-25,13.3
2018-06-26,16.9
2018-06-27,18.1
2018-06-28,19.2
2018-06-29,14.8
2018-06-30,14.9
2018-07-01,12.8
2018-07-02,12.8
2018-07-03,14.0
2018-07-04,15.2
2018-07-05,15.4
2018-07-06,16.8
2018-07-07,17.9
2018-07-08,17.3
2018-07-09,17.8
2018-07-10,19.4
2018-07-11,19.8
2018-07-12,21.1
2018-07-13,19.3
2018-07-14,20.2
2018-07-15,21.6
2018-07-16,22.8
2018-07-17,25.4
2018-07-18,24.9
2018-07-19,21.4
2018-07-20,22.2
2018-07-21,23.1
2018-07-22,22.1
2018-07-23,22.7
2018-07-24,21.7
2018-07-25,21.8
2018-07-26,22.5
2018-07-27,23.8
2018-07-28,26.2
2018-07-29,26.5
2018-07-30,26.2
2018-07-31,25.0
2018-08-01,24.1
2018-08-02,24.0
2018-08-03,23.3
2018-08-04,21.5
2018-08-05,21.1
2018-08-06,20.0
2018-08-07,18.7
2018-08-08,21.6
2018-08-09,25.4
2018-08-10,26.4
2018-08-11,18.8
2018-08-12,15.6
2018-08-13,16.7
2018-08-14,15.9
2018-08-15,18.5
2018-08-16,18.9
2018-08-17,20.1
2018-08-18,20.0
2018-08-19,17.7
2018-08-20,19.1
2018-08-21,16.8
2018-08-22,16.3
2018-08-23,17.5
2018-08-24,21.3
2018-08-25,17.5
2018-08-26,14.0
2018-08-27,14.3
2018-08-28,15.7
2018-08-29,16.5
2018-08-30,15.4
2018-08-31,16.7
2018-09-01,17.1
2018-09-02,15.5
2018-09-03,16.3
2018-09-04,17.4
2018-09-05,16.6
2018-09-06,17.3
2018-09-07,18.6
2018-09-08,19.5
2018-09-09,16.1
2018-09-10,15.9
2018-09-11,16.3
2018-09-12,16.9
2018-09-13,14.7
2018-09-14,12.1
2018-09-15,12.1
2018-09-16,13.2
2018-09-17,14.0
2018-09-18,16.4
2018-09-19,18.1
2018-09-20,18.4
2018-09-21,20.7
2018-09-22,15.2
2018-09-23,11.6
2018-09-24,8.6
2018-09-25,8.5
2018-09-26,8.5
2018-09-27,12.7
2018-09-28,10.9
2018-09-29,8.0
2018-09-30,10.3
2018-10-01,9.3
2018-10-02,9.1
2018-10-03,7.6
2018-10-04,7.9
2018-10-05,10.3
2018-10-06,14.0
2018-10-07,8.5
2018-10-08,7.5
2018-10-09,11.0
2018-10-10,12.9
2018-10-11,12.1
2018-10-12,12.1
2018-10-13,12.0
2018-10-14,12.2
2018-10-15,11.4
2018-10-16,10.6
2018-10-17,9.2
2018-10-18,10.7
2018-10-19,8.9
2018-10-20,2.1
2018-10-21,2.7
2018-10-22,8.6
2018-10-23,5.0
2018-10-24,6.2
2018-10-25,2.8
2018-10-26,2.9
2018-10-27,5.6
2018-10-28,3.6
2018-10-29,0.8
2018-10-30,4.3
2018-10-31,10.0
2018-11-01,8.0
2018-11-02,11.6
2018-11-03,8.0
2018-11-04,4.3
2018-11-05,3.6
2018-11-06,8.8
2018-11-07,7.8
2018-11-08,6.6
2018-11-09,4.0
2018-11-10,5.7
2018-11-11,5.5
2018-11-12,4.4
2018-11-13,6.6
2018-11-14,7.9
2018-11-15,7.1
2018-11-16,4.3
2018-11-17,2.6
2018-11-18,5.5
2018-11-19,2.1
2018-11-20,-0.3
2018-11-21,0.0
2018-11-22,0.9
2018-11-23,2.0
2018-11-24,-1.1
2018-11-25,-0.9
2018-11-26,-0.3
2018-11-27,-2.2
2018-11-28,-8.2
2018-11-29,-7.9
2018-11-30,-5.0
2018-12-01,-8.2
2018-12-02,-6.1
2018-12-03,-1.0
2018-12-04,3.2
2018-12-05,0.9
2018-12-06,-1.5
2018-12-07,-1.1
2018-12-08,1.5
2018-12-09,2.8
2018-12-10,2.0
2018-12-11,-2.3
2018-12-12,0.0
2018-12-13,-0.4
2018-12-14,-0.5
2018-12-15,-1.6
2018-12-16,-1.5
2018-12-17,-1.8
2018-12-18,-3.0
2018-12-19,-2.5
2018-12-20,-5.1
2018-12-21,-5.4
2018-12-22,-3.5
2018-12-23,-1.4
2018-12-24,-1.9
2018-12-25,-1.7
2018-12-26,3.2
2018-12-27,1.3
2018-12-28,2.1
2018-12-29,2.0
2018-12-30,1.7
2018-12-31,0.0
2019-01-01,3.0
2019-01-02,-0.3
2019-01-03,-3.1
2019-01-04,-3.8
2019-01-05,-2.2
2019-01-06,-7.5
2019-01-07,-5.8
2019-01-08,-2.4
2019-01-09,-4.2
2019-01-10,-9.1
2019-01-11,-4.8
2019-01-12,-0.8
2019-01-13,-1.5
2019-01-14,-0.4
2019-01-15,-3.0
2019-01-16,-2.4
2019-01-17,2.0
2019-01-18,-1.8
2019-01-19,-1.3
2019-01-20,-1.3
2019-01-21,-4.8
2019-01-22,-9.2
2019-01-23,-5.8
2019-01-24,-4.1
2019-01-25,-4.7
2019-01-26,-9.3
2019-01-27,-8.1
2019-01-28,-6.7
2019-01-29,-4.0
2019-01-30,-3.1
2019-01-31,-8.3
2019-02-01,-0.2
2019-02-02,1.2
2019-02-03,2.0
2019-02-04,-1.3
2019-02-05,-2.3
2019-02-06,-2.1
2019-02-07,-1.1
2019-02-08,1.6
2019-02-09,1.8
2019-02-10,2.7
2019-02-11,1.6
2019-02-12,0.3
2019-02-13,-0.3
2019-02-14,2.4
2019-02-15,4.0
2019-02-16,5.1
2019-02-17,3.1
2019-02-18,0.1
2019-02-19,3.9
2019-02-20,2.3
2019-02-21,-2.7
2019-02-22,-5.0
2019-02-23,-2.0
2019-02-24,3.4
2019-02-25,4.0
2019-02-26,3.5
2019-02-27,3.8
2019-02-28,2.8
2019-03-01,-2.6
2019-03-02,-1.1
2019-03-03,2.0
2019-03-04,4.5
2019-03-05,2.4
2019-03-06,-2.9
2019-03-07,2.1
2019-03-08,5.8
2019-03-09,3.4
2019-03-10,2.0
2019-03-11,-2.3
2019-03-12,-2.8
2019-03-13,-3.3
2019-03-14,3.4
2019-03-15,3.7
2019-03-16,3.6
2019-03-17,3.8
2019-03-18,5.3
2019-03-19,3.2
2019-03-20,3.4
2019-03-21,5.5
2019-03-22,4.2
2019-03-23,4.1
2019-03-24,4.8
2019-03-25,2.6
2019-03-26,0.7
2019-03-27,1.4
2019-03-28,5.0
2019-03-29,8.0
2019-03-30,9.0
2019-03-31,5.3
2019-04-01,2.4
2019-04-02,2.9
2019-04-03,7.8
2019-04-04,8.6
2019-04-05,8.0
2019-04-06,8.5
2019-04-07,7.2
2019-04-08,4.3
2019-04-09,2.1
2019-04-10,2.0
2019-04-11,1.3
2019-04-12,-0.2
2019-04-13,1.4
2019-04-14,3.4
2019-04-15,4.7
2019-04-16,7.8
2019-04-17,9.2
2019-04-18,7.2
2019-04-19,8.4
2019-04-20,8.0
2019-04-21,9.0
2019-04-22,10.8
2019-04-23,12.1
2019-04-24,14.8
2019-04-25,18.0
2019-04-26,18.4
2019-04-27,17.3
2019-04-28,16.6
2019-04-29,10.5
2019-04-30,9.8
2019-05-01,10.1
2019-05-02,8.0
2019-05-03,3.3
2019-05-04,4.2
2019-05-05,4.6
2019-05-06,5.6
2019-05-07,8.4
2019-05-08,7.2
2019-05-09,11.7
2019-05-10,13.0
2019-05-11,11.5
2019-05-12,11.9
2019-05-13,7.9
2019-05-14,7.7
2019-05-15,10.3
2019-05-16,14.8
2019-05-17,16.8
2019-05-18,20.9
2019-05-19,22.1
2019-05-20,22.1
2019-05-21,22.3
2019-05-22,19.6
2019-05-23,18.0
2019-05-24,15.4
2019-05-25,12.7
2019-05-26,11.6
2019-05-27,11.6
2019-05-28,11.3
2019-05-29,12.3
2019-05-30,11.8
2019-05-31,12.3
2019-06-01,13.1
2019-06-02,14.8
2019-06-03,14.4
2019-06-04,21.1
2019-06-05,23.1
2019-06-06,24.6
2019-06-07,24.0
2019-06-08,22.8
2019-06-09,19.3
2019-06-10,17.6
2019-06-11,22.2
2019-06-12,22.2
2019-06-13,24.5
2019-06-14,18.5
2019-06-15,18.8
2019-06-16,18.4
2019-06-17,18.1
2019-06-18,18.1
2019-06-19,20.7
2019-06-20,22.6
2019-06-21,21.2
2019-06-22,18.2
2019-06-23,16.3
2019-06-24,17.1
2019-06-25,18.3
2019-06-26,21.1
2019-06-27,16.8
2019-06-28,16.5
2019-06-29,15.9
2019-06-30,20.3
2019-07-01,21.2
2019-07-02,16.9
2019-07-03,13.6
2019-07-04,12.5
2019-07-05,12.5
2019-07-06,14.7
2019-07-07,12.4
2019-07-08,13.6
2019-07-09,15.8
2019-07-10,14.5
2019-07-11,15.9
2019-07-12,14.3
2019-07-13,14.1
2019-07-14,15.2
2019-07-15,15.6
2019-07-16,13.3
2019-07-17,15.7
2019-07-18,17.6
2019-07-19,18.2
2019-07-20,17.7
2019-07-21,19.8
2019-07-22,18.4
2019-07-23,18.3
2019-07-24,19.8
2019-07-25,20.3
2019-07-26,21.2
2019-07-27,23.8
2019-07-28,24.2
