date,million
2018-01-01,5777.8
2018-04-01,5863.6
2018-07-01,5940.9
2018-10-01,5972.8
2019-01-01,5899.9
2019-04-01,5935.7
2019-07-01,5950.9
2019-10-01,5905.7
2020-01-01,5827.9
2020-04-01,5405.8
2020-07-01,5783.8
2020-10-01,5845.4
2021-01-01,5881.2
2021-04-01,6036.3
2021-07-01,6203.7
2021-10-01,6203.8
2022-01-01,6299.8
2022-04-01,6306.1
2022-07-01,6257.3
2022-10-01,6302.0
