name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Riga,Latvia",2020-06-01,17,5,13.1,17,4,13,3.3,52.8,0,0,0,,0,0,50,31.7,3.4,1022.7,0.1,10,196.4,17,5,,2020-06-01T04:38:31,2020-06-01T22:05:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-02,17,6,12.7,17,5.1,12.3,3.7,55.4,0,0,0,,0,0,,31.7,4.4,1017.4,0,10,280.5,24.3,8,,2020-06-02T04:37:26,2020-06-02T22:06:42,0.38,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-03,16,8,13.1,16,7.4,13,5.4,60.1,0,0,0,,0,0,,13,72.9,1010.3,29.5,10,143.5,12.5,5,,2020-06-03T04:36:24,2020-06-03T22:08:01,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-04,18,6,13.4,18,6,13.4,9.2,76.8,0,0,0,,0,0,,16.6,6.1,1003.9,32.5,10,158.7,13.7,7,,2020-06-04T04:35:26,2020-06-04T22:09:17,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-05,23,10,17,23,10,17,9.3,67.1,0,0,0,,0,0,38.9,27.6,156.8,999.2,23.1,8,281.6,24.2,8,,2020-06-05T04:34:32,2020-06-05T22:10:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-06,19,14,16.4,19,14,16.4,10.5,70.1,0,0,0,,0,0,40.7,25.8,194.4,1000.4,51.1,10,190.6,16.4,6,,2020-06-06T04:33:42,2020-06-06T22:11:40,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-07,22,10,16.2,22,10,16.2,12.6,80.6,0,0,0,,0,0,,14.8,121.8,1010.3,26.4,10,156.9,13.6,7,,2020-06-07T04:32:56,2020-06-07T22:12:46,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-08,24,14,18,24,14,18,16.3,90.8,0,0,0,,0,0,,14.8,11.3,1009.3,62.7,7.8,192.4,16.3,7,,2020-06-08T04:32:13,2020-06-08T22:13:49,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-09,15,13,14.1,15,13,14.1,13.7,97.1,0,0,0,,0,0,,13,334.7,1015.1,82.3,6.3,65.8,5.7,2,,2020-06-09T04:31:35,2020-06-09T22:14:48,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-10,21,14,17.1,21,14,17.1,15.9,92.7,0,0,0,,0,0,,18.3,356.3,1015.6,65.6,7.3,126.8,10.9,5,,2020-06-10T04:31:00,2020-06-10T22:15:44,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-11,23,18,19.7,23,18,19.7,17.4,87,0,0,0,,0,0,,22.3,38.6,1014.1,52.4,9.4,128,11.1,4,,2020-06-11T04:30:30,2020-06-11T22:16:35,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-12,24,17,20,24,17,20,17,83.6,0,0,0,,0,0,,20.5,44.9,1015.8,67.9,9.9,93.5,8.1,3,,2020-06-12T04:30:04,2020-06-12T22:17:24,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-13,23,14,19,23,14,19,9.4,56.9,0,0,0,,0,0,,25.8,62.6,1020,3.7,10,312.2,26.8,8,,2020-06-13T04:29:42,2020-06-13T22:18:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-14,20,14,16.8,20,14,16.8,7.6,55.8,0,0,0,,0,0,42.5,24.1,63.7,1020,28.2,10,130.5,11.4,4,,2020-06-14T04:29:24,2020-06-14T22:18:48,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-15,19,14,15.9,19,14,15.9,14.6,92.1,0,0,0,,0,0,,14.8,86.7,1014.2,94.8,9.4,67.1,5.7,3,,2020-06-15T04:29:10,2020-06-15T22:19:24,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-16,24,14,18.7,24,14,18.7,13.6,75.2,0,0,0,,0,0,33.5,14.7,171.3,1014.6,33.4,7.8,244.3,21.2,7,,2020-06-16T04:29:00,2020-06-16T22:19:57,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-17,25,11,19.9,25,11,19.9,13.1,68.2,0,0,0,,0,0,,20.4,5.8,1014.5,4.9,9.7,292.3,25.3,8,,2020-06-17T04:28:55,2020-06-17T22:20:25,0.87,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-18,30,14,21.8,29.7,14,22.1,17.5,78.5,0,0,0,,0,0,,16.6,351.2,1012.1,7.8,10,298.3,25.6,8,,2020-06-18T04:28:54,2020-06-18T22:20:49,0.91,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-19,29,18,24.1,29.5,18,24.3,17.1,67.7,0,0,0,,0,0,,16.6,162.4,1012.3,15.4,10,277.1,23.9,7,,2020-06-19T04:28:57,2020-06-19T22:21:09,0.94,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-20,29,18,23.8,29.5,18,24.1,17.8,70.7,0,0,0,,0,0,,18.4,79.6,1013,21.8,10,252,21.7,7,,2020-06-20T04:29:05,2020-06-20T22:21:24,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-21,24,18,21,24,18,21,16.5,76,0,0,0,,0,0,,16.6,43.2,1015.8,56.3,10,189.8,16.4,4,,2020-06-21T04:29:16,2020-06-21T22:21:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-22,25,17,21.3,25,17,21.3,13.9,63.5,0,0,0,,0,0,,16.6,22.9,1015.7,5.4,10,304.2,26.3,8,,2020-06-22T04:29:32,2020-06-22T22:21:43,0.04,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-23,26,12,20.7,26,12,20.7,14,68,0,0,0,,0,0,,16.6,24.6,1018.1,0,10,237.2,20.4,6,,2020-06-23T04:29:52,2020-06-23T22:21:46,0.08,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-24,26,14,21,26,14,21,14,67.2,0,0,0,,0,0,,20.4,345,1024.7,0,9.9,294.2,25.5,8,,2020-06-24T04:30:16,2020-06-24T22:21:44,0.11,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-25,28,13.1,21.9,27.7,13.1,21.9,13.9,64.7,0,0,0,,0,0,,16.6,11.9,1027.3,5.4,8.8,279.3,24.3,9,,2020-06-25T04:30:44,2020-06-25T22:21:38,0.15,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-26,31,14,23.6,30.1,14,23.3,13.6,58.8,0,0,0,,0,0,,16.6,178,1024,0,10,289.9,25,8,,2020-06-26T04:31:16,2020-06-26T22:21:28,0.18,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-27,31,17,24.8,29.9,17,24.5,14,54.9,0,0,0,,0,0,,24.1,171.8,1015.2,0,10,287.8,24.9,8,,2020-06-27T04:31:52,2020-06-27T22:21:14,0.22,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-28,29,18,23.3,29.2,18,23.4,16,65.7,0,0,0,,0,0,,14.8,110.3,1009.7,15.7,10,256.6,22.2,8,,2020-06-28T04:32:32,2020-06-28T22:20:55,0.25,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-29,28,17,21.2,28.3,17,21.3,18.2,85,0,0,0,,0,0,,20.4,263.5,1008.2,25.2,9.1,204,17.4,6,,2020-06-29T04:33:16,2020-06-29T22:20:33,0.29,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-06-30,20,14,16.8,20,14,16.8,14.4,86.7,0,0,0,,0,0,38.9,20.5,251.2,1001.8,63.4,9.6,143.6,12.4,6,,2020-06-30T04:34:04,2020-06-30T22:20:06,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-01,20,15,17,20,15,17,12.3,74.9,0,0,0,,0,0,46.4,25.9,214.8,1002.7,46.4,10,150.7,13.1,6,,2020-07-01T04:34:55,2020-07-01T22:19:35,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
