name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Riga,Latvia",2020-07-02,22,12,17.5,22,12,17.5,12.8,75.3,0,0,0,,0,0,40.7,20.4,205.9,1006,19.4,10,224.5,19.3,7,,2020-07-02T04:35:50,2020-07-02T22:18:59,0.4,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-03,21,13,17.2,21,13,17.2,12.6,75.9,0,0,0,,0,0,,13,216.8,1011.2,31.7,10,216.5,18.5,8,,2020-07-03T04:36:49,2020-07-03T22:18:20,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-04,21,13,17.2,21,13,17.2,13.4,79.2,0,0,0,,0,0,,20.4,208.2,1012.5,40.3,10,141.3,12.1,7,,2020-07-04T04:37:51,2020-07-04T22:17:37,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-05,21,16,18.1,21,16,18.1,16,87.8,0,0,0,,0,0,,22.3,196.5,1007.1,90.7,10,72.3,6.2,3,,2020-07-05T04:38:56,2020-07-05T22:16:50,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-06,21,16,18.3,21,16,18.3,12.9,72.5,0,0,0,,0,0,,22.3,210.7,1003.7,47.1,9.9,145,12.6,4,,2020-07-06T04:40:05,2020-07-06T22:15:59,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-07,19,11,15.6,19,11,15.6,10.5,72.7,0,0,0,,0,0,,20.5,227.1,1007.7,34.2,10,164.7,14.5,4,,2020-07-07T04:41:16,2020-07-07T22:15:04,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-08,18,9,14,18,8,14,8.9,73,0,0,0,,0,0,,20.5,221.7,1009.8,31.6,10,167,14.2,6,,2020-07-08T04:42:31,2020-07-08T22:14:05,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-09,18,7,13.3,18,5.2,12.9,8.9,76.4,0,0,0,,0,0,,20.5,205.9,1012.7,15.9,10,186.9,16,7,,2020-07-09T04:43:49,2020-07-09T22:13:03,0.63,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-10,17,9,13.3,17,8.5,13.3,11.8,91,0,0,0,,0,0,,13,124.9,1010.8,44.9,9.8,68.6,5.9,2,,2020-07-10T04:45:09,2020-07-10T22:11:57,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-11,20,15,16.5,20,15,16.5,11,72.2,0,0,0,,0,0,50,29.5,224.9,1011,57.6,10,165.1,14.3,7,,2020-07-11T04:46:33,2020-07-11T22:10:48,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-12,20,9,14.5,20,8,14.4,10.3,77.9,0,0,0,,0,0,,11.2,232.1,1018.7,30.7,10,179.8,15.4,5,,2020-07-12T04:47:58,2020-07-12T22:09:35,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-13,21,8,14.6,21,6.8,14.5,9.5,73.8,0,0,0,,0,0,,18.3,249.8,1018.3,19.5,10,235.6,20.3,7,,2020-07-13T04:49:27,2020-07-13T22:08:18,0.75,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-14,21,8,15.5,21,6.8,15.4,9.5,71.8,0,0,0,,0,0,,14.8,336,1017.1,20.9,10,250.4,21.6,7,,2020-07-14T04:50:58,2020-07-14T22:06:59,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-15,23,10,17.7,23,10,17.7,9.8,62.6,0,0,0,,0,0,,14.8,35.6,1014.5,4.8,10,280.7,23.8,7,,2020-07-15T04:52:31,2020-07-15T22:05:36,0.83,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-16,22,8,16.8,22,8,16.8,10.5,69.5,0,0,0,,0,0,,20.5,9.7,1013.2,1.2,10,254.8,22,8,,2020-07-16T04:54:06,2020-07-16T22:04:10,0.86,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-17,23,10,18,23,10,18,13.2,75.5,0,0,0,,0,0,,20.5,339.6,1016.7,0.4,9.8,233.5,20.1,6,,2020-07-17T04:55:44,2020-07-17T22:02:41,0.89,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-18,26,10,19.7,26,10,19.7,12.4,67.8,0,0,0,,0,0,,16.6,2.9,1020.9,4,10,279.5,24,8,,2020-07-18T04:57:23,2020-07-18T22:01:09,0.92,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-19,27,12,20.6,27,12,20.6,13.3,66.3,0,0,0,,0,0,,13,50.3,1019.7,0.1,10,205,17.6,6,,2020-07-19T04:59:04,2020-07-19T21:59:34,0.96,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-20,28,14,21.4,27.9,14,21.3,14.1,67.2,0,0,0,,0,0,,14.8,171.6,1014.2,17.1,10,260.8,22.4,7,,2020-07-20T05:00:48,2020-07-20T21:57:56,0,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26422599999,F2918,26424099999"
"Riga,Latvia",2020-07-21,21,15,18.2,21,15,18.2,13.9,77.2,0,0,0,,0,0,25.2,18.3,270.5,1011.6,28.4,10,154.1,13.4,7,,2020-07-21T05:02:32,2020-07-21T21:56:16,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,F2918,26425099999,26424099999"
"Riga,Latvia",2020-07-22,17,10,14.5,17,10,14.5,9.8,75,0,0,0,,0,0,36.3,20.5,277,1011.3,35.9,10,157,13.5,6,,2020-07-22T05:04:19,2020-07-22T21:54:33,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-23,17,10,12.9,17,10,12.9,9.6,80.7,0,0,0,,0,0,36.3,20.5,222,1011.1,37.8,10,206.9,18,7,,2020-07-23T05:06:07,2020-07-23T21:52:47,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-24,18.1,7,13.4,18.1,4.6,13.1,10.8,85.2,0,0,0,,0,0,31,18.4,200.7,1009.7,34.3,10,157.6,13.6,7,,2020-07-24T05:07:56,2020-07-24T21:50:59,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-25,20,12,16.3,20,12,16.3,13.2,83.4,0,0,0,,0,0,28.8,22.3,207.1,1009,44.2,10,142.5,12.1,6,,2020-07-25T05:09:47,2020-07-25T21:49:08,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-26,24,8.1,17.4,24,8.1,17.4,10.5,68.4,0,0,0,,0,0,25.2,16.6,137.3,1015.8,14.9,10,277,24,7,,2020-07-26T05:11:38,2020-07-26T21:47:15,0.2,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-27,26,15,19.2,26,15,19.2,14.5,75.1,0.4,100,4.17,rain,0,0,18,16.6,55.6,1016.1,13,10,175.9,15.2,5,,2020-07-27T05:13:32,2020-07-27T21:45:20,0.25,Rain,Clear conditions throughout the day with afternoon rain.,rain,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-28,25,16,20.4,25,16,20.4,16.2,78.3,0,0,0,,0,0,19.1,13,198.3,1012.8,26.8,10,204.4,17.7,8,,2020-07-28T05:15:26,2020-07-28T21:43:22,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-29,21,16,18.7,21,16,18.7,13.8,74.8,0,0,0,,0,0,43.5,16.6,234.4,1009.3,41.4,10,126.9,11.1,6,,2020-07-29T05:17:21,2020-07-29T21:41:22,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-30,18,13,15.5,18,13,15.5,12.2,81.2,0,0,0,,0,0,47.9,24.1,218.4,1011,41.6,10,125.4,10.8,4,,2020-07-30T05:19:17,2020-07-30T21:39:21,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-07-31,19,14,16.1,19,14,16.1,14,87.7,0,0,0,,0,0,32.4,20.6,259.9,1008.9,56.5,9.7,129.1,11,5,,2020-07-31T05:21:14,2020-07-31T21:37:17,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-01,19.1,12,17.6,19.1,12,17.6,13.3,77.1,0,0,0,,0,0,28.8,24.1,344.1,1014.3,31.2,10,227,19.6,6,,2020-08-01T05:23:11,2020-08-01T21:35:11,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-02,23,8,15.9,23,8,15.9,10.8,75.5,0,0,0,,0,0,20.5,14.7,188.5,1014.4,11.8,10,189.9,16.3,7,,2020-08-02T05:25:10,2020-08-02T21:33:03,0.45,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-03,22,12,17,22,12,17,13.9,82.4,0,0,0,,0,0,14.4,18.4,187.2,1010.8,9.9,10,93.6,8.2,3,,2020-08-03T05:27:09,2020-08-03T21:30:54,0.5,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-04,20,16,17.4,20,16,17.4,16.5,94.3,0,0,0,,0,0,13.3,9.4,30.5,1009.3,39.6,8.9,55.6,4.8,3,,2020-08-04T05:29:08,2020-08-04T21:28:43,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-05,22,12,17.8,22,12,17.8,13.5,78.9,0,0,0,,0,0,24.1,13,270.3,1016.3,53.3,10,199.6,17.2,6,,2020-08-05T05:31:09,2020-08-05T21:26:30,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-06,27,10,18.6,27,10,18.6,12.3,70.7,0,0,0,,0,0,33.5,16.6,204.7,1024.7,0,10,168.3,14.3,5,,2020-08-06T05:33:09,2020-08-06T21:24:16,0.59,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-07,26,12,20.2,26,12,20.2,12.8,66.1,0,0,0,,0,0,19.4,16.6,345.5,1027.8,0,10,240.3,20.8,7,,2020-08-07T05:35:10,2020-08-07T21:21:59,0.62,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-08,26.1,12,19.8,26.1,12,19.8,14.3,73.3,0,0,0,,0,0,19.4,11.2,353,1024.7,1.4,9.7,189.6,16.4,7,,2020-08-08T05:37:12,2020-08-08T21:19:42,0.65,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-09,27,13,20.9,27.5,13,21,15.4,74.1,0,0,0,,0,0,16.9,16.6,349.6,1020.7,0.2,9.6,244.1,20.9,7,,2020-08-09T05:39:13,2020-08-09T21:17:23,0.68,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-10,22.1,14,18.6,22.1,14,18.6,15.6,83.7,0,0,0,,0,0,32.4,24.1,339.6,1019.9,27.4,9,223.8,19.4,7,,2020-08-10T05:41:16,2020-08-10T21:15:02,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-11,21,10,16.9,21,10,16.9,10.8,69.3,0,0,0,,0,0,36,25.9,357,1022.3,0,10,206.6,17.9,6,,2020-08-11T05:43:18,2020-08-11T21:12:41,0.75,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-12,19,8.1,14.5,19,8.1,14.5,8.4,69.7,0,0,0,,0,0,25.2,22.3,7.1,1023.4,2.4,10,151.2,13.2,5,,2020-08-12T05:45:20,2020-08-12T21:10:18,0.78,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-13,19.1,7,13.3,19.1,7,13.3,10.5,84.5,0,0,0,,0,0,19.1,14.8,171.8,1019.7,28.1,10,68.2,5.9,2,,2020-08-13T05:47:23,2020-08-13T21:07:53,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-14,24,12,17.7,24,12,17.7,13.3,78,0,0,0,,0,0,20.2,11.2,243.3,1016.8,53.6,10,183.3,16.2,5,,2020-08-14T05:49:26,2020-08-14T21:05:28,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-15,27,10,19,27.1,10,19,13.3,74,0,0,0,,0,0,19.1,12.9,314.7,1017,2.8,9.8,222.1,19.3,6,,2020-08-15T05:51:29,2020-08-15T21:03:01,0.88,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-16,29,11,20.2,28.6,11,20.2,13.8,71.6,0,0,0,,0,0,22.7,20.5,289,1016.2,0,10,226.1,19.5,7,,2020-08-16T05:53:32,2020-08-16T21:00:33,0.91,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-17,23.1,11.1,18.1,23.1,11.1,18.1,12.5,73.4,0,0,0,,0,0,22.7,18.3,344.3,1015.2,3.6,9.5,230.8,20,7,,2020-08-17T05:55:35,2020-08-17T20:58:04,0.94,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-18,23,10,17,23,10,17,11.4,73.1,0,0,0,,0,0,24.1,18.4,22.6,1012.6,0,9.2,226,19.4,7,,2020-08-18T05:57:39,2020-08-18T20:55:34,0.98,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-19,27,11,19.7,27.1,11,19.7,12.3,65.1,0,0,0,,0,0,27.7,18.4,66.2,1009.1,1.2,10,216.3,18.6,6,,2020-08-19T05:59:42,2020-08-19T20:53:04,0,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-20,25,14,20,25,14,20,13.4,68,0,0,0,,0,0,21.6,14.8,99,1011.9,0,10,201.7,17.4,6,,2020-08-20T06:01:45,2020-08-20T20:50:32,0.04,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-21,27,14,20.6,27.1,14,20.6,15.2,73.6,0,0,0,,0,0,19.4,13,118.4,1015.8,11.6,10,212.3,18.2,7,,2020-08-21T06:03:48,2020-08-21T20:47:59,0.08,Clear,Clear conditions throughout the day.,clear-day,"EVRA,26429099999,26422599999,26425099999,F2918"
"Riga,Latvia",2020-08-22,23,17,19.3,23,17,19.3,16.2,82.3,0,0,0,,0,0,31,24.1,152.1,1014.8,23.8,10,82.3,6.9,3,,2020-08-22T06:05:52,2020-08-22T20:45:25,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EVRA,26429099999,26422599999,26425099999,F2918"
