date,million
2018-01-01,4549.9
2018-04-01,4952.9
2018-07-01,4925.5
2018-10-01,5250.8
2019-01-01,4745.9
2019-04-01,5097.6
2019-07-01,5186.4
2019-10-01,5442.9
2020-01-01,4777.4
2020-04-01,4805.0
2020-07-01,5182.0
2020-10-01,5510.7
2021-01-01,5020.7
2021-04-01,5446.6
2021-07-01,5501.5
2021-10-01,5776.1
2022-01-01,5176.8
2022-04-01,5457.9
2022-07-01,5473.9
2022-10-01,5536.1
