DATE,CLVMNACSCAB1GQLT
2018-01-01,9252.7
2018-04-01,9366.8
2018-07-01,9401.3
2018-10-01,9541.4
2019-01-01,9677.2
2019-04-01,9815.0
2019-07-01,9836.2
2019-10-01,9968.1
2020-01-01,9928.0
2020-04-01,9410.6
2020-07-01,9974.1
2020-10-01,10017.6
2021-01-01,10196.1
2021-04-01,10357.0
2021-07-01,10542.7
2021-10-01,10666.7
2022-01-01,10725.9
2022-04-01,10658.5
2022-07-01,10728.2
2022-10-01,10679.7
